site,sp,dbh
1,Dystovomita paniculata,20.4
1,Capparis pittieri,9.5
1,Pentaclethra macroloba,23.3
1,Iriartea deltoidea,19.2
1,Minquartia guianensis,37.2
1,Iriartea deltoidea,22.2
1,Guatteria aeruginosa,6
1,Coussarea hondensis,9.6
1,Pentaclethra macroloba,39.2
1,Quararibea ochrocalyx,16.1
1,Euterpe precatoria,8.8
1,Iriartea deltoidea,19
1,Rinorea deflexiflora,6.8
1,Iriartea deltoidea,10.5
1,Ilex skutchii,7
1,Protium panamense,28
1,Unonopsis hammelii,15.9
1,Socratea exorrhiza,14.5
1,Henriettea tuberculosa,6.7
1,Minquartia guianensis,6.4
1,Rinorea deflexiflora,6.2
1,Iriartea deltoidea,12.1
1,Faramea parvibractea,7.3
1,Quiina schippii,15.3
1,Virola sebifera,7.3
1,Guatteria aeruginosa,34.5
1,Eugenia sarapiquensis,7.9
1,Sacoglottis trichogyna,7.6
1,Rauvolfia purpurascens,22
1,Garcinia intermedia,15.2
1,Rinorea deflexiflora,8.1
1,Pentaclethra macroloba,14.7
1,Jacaratia dolichaula,8.3
1,Protium panamense,38.8
1,Welfia regia,16.5
1,Faramea parvibractea,19.7
1,Ardisia fimbrillifera,13.9
1,Cordia dwyeri,11.9
1,Rinorea deflexiflora,12.6
1,Guarea bullata,7.7
1,Iriartea deltoidea,18.7
1,Maquira costaricana,13.3
1,Rinorea deflexiflora,10.2
1,Pentaclethra macroloba,44
1,Cryosophila warscewiczii,6.2
1,Welfia regia,15.3
1,Pentaclethra macroloba,49.7
1,Capparis pittieri,6.5
1,Welfia regia,12.8
1,Iriartea deltoidea,12.8
1,Iriartea deltoidea,16.9
1,Iriartea deltoidea,17
1,Iriartea deltoidea,16
1,Pentaclethra macroloba,58.2
1,Pentaclethra macroloba,45.6
1,Protium panamense,15.1
1,Heisteria coccinea,8.9
1,Hirtella lemsii,8.5
1,Tapirira myriantha,11.4
1,Socratea exorrhiza,8.3
1,Inga alba,6.5
1,Pourouma bicolor,5.1
1,Rauvolfia purpurascens,18.5
1,Iriartea deltoidea,8.1
1,Protium panamense,8.7
1,Psychotria panamensis,6.5
1,Guatteria diospyroides,6.2
1,Pentaclethra macroloba,64
1,Iriartea deltoidea,9.9
1,Iriartea deltoidea,17
1,Inga fagifolia,12.8
1,Faramea parvibractea,12.5
1,Sloanea guianensis,34
1,Posoqueria panamensis,6.2
1,Pentaclethra macroloba,19.6
1,Naucleopsis naga,12.3
1,Hirtella lemsii,10.9
1,Cryosophila warscewiczii,6.7
1,Capparis pittieri,9.3
1,Protium panamense,8.3
1,Pentaclethra macroloba,47.5
1,Pouteria glomerata,46.2
1,Posoqueria panamensis,5.7
1,Iriartea deltoidea,17.6
1,Pentaclethra macroloba,30.6
1,Pentaclethra macroloba,30.7
