plot,sp,dbh
BSP104,Diospyros oocarpa,14.32394488
BSP104,Diospyros oocarpa,14.64225476
BSP104,Diospyros oocarpa,15.91549431
BSP104,Diospyros oocarpa,15.91549431
BSP104,Diospyros oocarpa,30.55774907
BSP104,Diospyros paniculata,3.819718634
BSP104,Diospyros paniculata,3.819718634
BSP104,Diospyros paniculata,4.13802852
BSP104,Diospyros paniculata,4.456338407
BSP104,Diospyros paniculata,4.456338407
BSP104,Diospyros paniculata,5.729577951
BSP104,Diospyros paniculata,6.366197724
BSP104,Diospyros paniculata,6.366197724
BSP104,Diospyros paniculata,6.366197724
BSP104,Diospyros paniculata,6.68450761
BSP104,Diospyros paniculata,6.68450761
BSP104,Diospyros paniculata,7.002817496
BSP104,Diospyros paniculata,7.639437268
BSP104,Diospyros paniculata,7.957747155
BSP104,Diospyros paniculata,8.276057041
BSP104,Diospyros paniculata,8.594366927
BSP104,Diospyros paniculata,9.549296586
BSP104,Diospyros paniculata,10.18591636
BSP104,Diospyros paniculata,11.14084602
BSP104,Diospyros paniculata,11.4591559
BSP104,Diospyros paniculata,11.4591559
BSP104,Diospyros paniculata,11.4591559
BSP104,Diospyros paniculata,11.4591559
BSP104,Diospyros paniculata,16.43231434
BSP104,Diospyros paniculata,16.30542198
BSP104,Diospyros paniculata,13.68732511
BSP104,Diospyros paniculata,15.91549431
BSP104,Diospyros paniculata,15.91549431
BSP104,Diospyros paniculata,17.82535363
BSP104,Diospyros paniculata,18.14366351
BSP104,Diospyros paniculata,23.57428031
BSP104,Diospyros paniculata,20.05352283
BSP104,Diospyros paniculata,20.05352283
BSP104,Diospyros sylvatica,5.411268065
BSP104,Dipterocarpus indicus,3.819718634
BSP104,Dipterocarpus indicus,4.13802852
BSP104,Dipterocarpus indicus,4.774648293
BSP104,Dipterocarpus indicus,6.366197724
BSP104,Dipterocarpus indicus,6.366197724
BSP104,Dipterocarpus indicus,7.957747155
BSP104,Dipterocarpus indicus,12.73239545
BSP104,Dipterocarpus indicus,13.36901522
BSP104,Dysoxylum malabaricum,3.819718634
BSP104,Dysoxylum malabaricum,40.74366543
BSP104,Dysoxylum malabaricum,44.56338407
BSP104,Dysoxylum malabaricum,76.39437268
BSP104,Dysoxylum malabaricum,154.0619849
BSP104,Dysoxylum malabaricum,235.5493158
BSP104,Dysoxylum malabaricum,254.6479089
BSP104,Dysoxylum malabaricum,270.5634033
BSP104,Elaeocarpus serratus,3.819718634
BSP104,Elaeocarpus serratus,5.411268065
BSP104,Elaeocarpus serratus,10.18591636
BSP104,Elaeocarpus serratus,10.82253613
BSP104,Entada pursaetha,13.36901522
BSP104,Eugenia macrosepala,3.819718634
BSP104,Eugenia macrosepala,4.774648293
BSP104,Eugenia macrosepala,7.002817496
BSP104,Eugenia macrosepala,7.639437268
BSP104,Eugenia macrosepala,15.91549431
BSP104,Flacourtia montana,3.501408748
BSP104,Flacourtia montana,3.819718634
BSP104,Flacourtia montana,4.456338407
BSP104,Flacourtia montana,4.774648293
BSP104,Flacourtia montana,5.092958179
BSP104,Flacourtia montana,5.729577951
BSP104,Flacourtia montana,6.366197724
BSP104,Flacourtia montana,6.366197724
BSP104,Flacourtia montana,7.002817496
BSP104,Flacourtia montana,10.18591636
BSP104,Flacourtia montana,11.4591559
BSP104,Flacourtia montana,11.77746579
BSP104,Flacourtia montana,12.73239545
BSP104,Flacourtia montana,27.05634033
BSP104,Garcinia gummiNAgutta,3.501408748
BSP104,Garcinia gummiNAgutta,3.819718634
BSP104,Garcinia gummiNAgutta,3.819718634
BSP104,Garcinia gummiNAgutta,3.819718634
BSP104,Garcinia gummiNAgutta,3.819718634
BSP104,Garcinia gummiNAgutta,3.819718634
BSP104,Garcinia gummiNAgutta,4.13802852
BSP104,Garcinia gummiNAgutta,4.13802852
BSP104,Garcinia gummiNAgutta,4.456338407
BSP104,Garcinia gummiNAgutta,5.092958179
BSP104,Garcinia gummiNAgutta,5.092958179
BSP104,Garcinia gummiNAgutta,5.092958179
BSP104,Garcinia gummiNAgutta,5.729577951
BSP104,Garcinia gummiNAgutta,5.729577951
BSP104,Garcinia gummiNAgutta,6.047887837
BSP104,Garcinia gummiNAgutta,6.366197724
BSP104,Garcinia gummiNAgutta,6.68450761
BSP104,Garcinia gummiNAgutta,10.50422624
BSP104,Garcinia gummiNAgutta,18.14366351
BSP104,Garcinia gummiNAgutta,20.37183272
BSP104,Garcinia gummiNAgutta,23.23662169
BSP104,Garcinia gummiNAgutta,25.46479089
BSP104,Garcinia gummiNAgutta,28.64788976
BSP104,Garcinia gummiNAgutta,31.83098862
BSP104,Garcinia morella,6.366197724
BSP104,Garcinia morella,19.41690306
BSP104,Garcinia morella,27.6929601
BSP104,Glochidion ellipticum,6.366197724
BSP104,Glochidion ellipticum,6.366197724
BSP104,Glochidion ellipticum,9.867606472
BSP104,Glochidion ellipticum,16.2338042
BSP104,Glochidion ellipticum,27.6929601
BSP104,Glochidion ellipticum,31.83098862
BSP104,Gnetum ula,5.729577951
BSP104,Gnetum ula,5.729577951
BSP104,Gnetum ula,6.68450761
BSP104,Gnetum ula,7.639437268
BSP104,Gnetum ula,9.549296586
BSP104,Grewia umbellifera,4.456338407
BSP104,Holigarna arnottiana,9.549296586
BSP104,Holigarna arnottiana,11.4591559
BSP104,Holigarna arnottiana,22.28169203
BSP104,Holigarna grahamii,6.366197724
BSP104,Holigarna grahamii,6.366197724
BSP104,Holigarna grahamii,10.50422624
BSP104,Holigarna grahamii,18.4619734
BSP104,Holigarna grahamii,35.01408748
BSP104,Holigarna grahamii,35.01408748
BSP104,Holigarna grahamii,36.9239468
BSP104,Holigarna nigra,4.13802852
BSP104,Holigarna nigra,4.774648293
BSP104,Holigarna nigra,8.276057041
BSP104,Holigarna nigra,8.594366927
BSP104,Holigarna nigra,10.18591636
BSP104,Holigarna nigra,14.64225476
BSP104,Holigarna nigra,54.74930042
BSP104,Homalium zeylanicum,7.957747155
BSP104,Homalium zeylanicum,15.27887454
BSP104,Homalium zeylanicum,28.64788976
BSP104,Homalium zeylanicum,29.9211293
BSP104,Homalium zeylanicum,45.20000384
BSP104,Hydnocarpus pentandra,5.411268065
BSP104,Hydnocarpus pentandra,7.321127382
BSP104,Hydnocarpus pentandra,15.27887454
BSP104,Ixora brachiata,3.819718634
BSP104,Ixora brachiata,8.594366927
BSP104,Knema attenuata,4.456338407
BSP104,Knema attenuata,6.68450761
BSP104,Knema attenuata,7.957747155
BSP104,Knema attenuata,17.50704374
BSP104,Lepisanthes deficiens,3.819718634
BSP104,Litsea floribunda,7.639437268
BSP104,Litsea floribunda,9.549296586
BSP104,Litsea floribunda,12.73239545
BSP104,Litsea floribunda,14.32394488
BSP104,Litsea floribunda,19.73521294
BSP104,Litsea floribunda,19.73521294
BSP104,Litsea floribunda,21.00845249
BSP104,Litsea floribunda,22.28169203
BSP104,Litsea floribunda,28.64788976
BSP104,Litsea floribunda,33.74084794
BSP104,Litsea stocksii,6.68450761
BSP104,Lophopetalum wightianum,4.774648293
BSP104,Mallotus philippensis,3.819718634
BSP104,Mallotus philippensis,8.276057041
BSP104,Mallotus philippensis,14.96056465
BSP104,Mallotus philippensis,23.87324146
BSP104,Mallotus stenanthus,4.13802852
BSP104,Mangifera indica,3.501408748
BSP104,Mangifera indica,3.501408748
